filename,n_workflows,nodes,run,duration,scaling_type
ss_workflow_manager_1500w_1n_run1.prof,1500,1n,1,0.20780253410339355,strong
ss_workflow_manager_1500w_1n_run2.prof,1500,1n,2,0.20636630058288574,strong
ss_workflow_manager_1500w_1n_run3.prof,1500,1n,3,0.1891770362854004,strong
ss_workflow_manager_1500w_2n_run1.prof,1500,2n,1,0.2098844051361084,strong
ss_workflow_manager_1500w_2n_run2.prof,1500,2n,2,0.21643376350402832,strong
ss_workflow_manager_1500w_2n_run3.prof,1500,2n,3,0.20670819282531738,strong
ss_workflow_manager_1500w_4n_run1.prof,1500,4n,1,0.20708513259887695,strong
ss_workflow_manager_1500w_4n_run2.prof,1500,4n,2,0.2071821689605713,strong
ss_workflow_manager_1500w_4n_run3.prof,1500,4n,3,0.1931006908416748,strong
ss_workflow_manager_1500w_8n_run1.prof,1500,8n,1,0.19510555267333984,strong
ss_workflow_manager_1500w_8n_run2.prof,1500,8n,2,0.2086634635925293,strong
ss_workflow_manager_1500w_8n_run3.prof,1500,8n,3,0.21090984344482422,strong
ws_workflow_manager_128_run1.prof,128,,1,0.018054962158203125,weak
ws_workflow_manager_128_run2.prof,128,,2,0.018256425857543945,weak
ws_workflow_manager_128_run3.prof,128,,3,0.01885223388671875,weak
ws_workflow_manager_256_run1.prof,256,,1,0.03657841682434082,weak
ws_workflow_manager_256_run2.prof,256,,2,0.035904884338378906,weak
ws_workflow_manager_256_run3.prof,256,,3,0.03644371032714844,weak
ws_workflow_manager_512_run1.prof,512,,1,0.06737351417541504,weak
ws_workflow_manager_512_run2.prof,512,,2,0.07297897338867188,weak
ws_workflow_manager_512_run3.prof,512,,3,0.07185935974121094,weak
ws_workflow_manager_1024_run1.prof,1024,,1,0.15083599090576172,weak
ws_workflow_manager_1024_run2.prof,1024,,2,0.1290121078491211,weak
ws_workflow_manager_1024_run3.prof,1024,,3,0.14411711692810059,weak
